ticker,cross_date,cross_price,pct_below,recovered,recovery_date,recovery_price,weeks_below,min_price_during,max_drawdown_episode,episode_return,annualized_return,current_price,unrealized_return,weeks_elapsed,sector,total_crosses,cross_number,spy_episode_return,excess_episode,beat_spy,abs_depth
NVDA,2022-09-17,12.5,-1.49,True,2022-10-22,13.815881729125977,5.0,11.212295532226562,-10.301635742187498,10.527053833007804,183.18704086948551,,,,Technology,1,1,5.817605039700924,4.70944879330688,True,1.49
AMZN,2022-04-23,124.28,-1.69,True,2022-07-23,134.9499969482422,13.0,106.22000122070312,-14.531701624796325,8.585449749148854,39.02296221639945,,,,Consumer Cyclical,6,1,-1.5748373919621916,10.160287141111045,True,1.69
AMZN,2022-08-27,127.51,-1.17,True,2022-09-03,133.27000427246094,1.0,127.51,0.0,4.517296112038993,894.9119027025861,,,,Consumer Cyclical,6,2,0.5988331645230716,3.9184629475159216,True,1.17
AMZN,2022-09-10,123.53,-4.59,True,2023-07-08,134.67999267578125,43.0,84.0,-32.000323807981864,9.026141565434507,11.016081336923378,,,,Consumer Cyclical,6,3,20.181929239345987,-11.15578767391148,False,4.59
AMZN,2023-07-15,130.0,-2.52,True,2023-07-29,139.57000732421875,2.0,130.0,0.0,7.361544095552874,533.9681991311004,,,,Consumer Cyclical,6,4,-1.4689121303885444,8.830456225941418,True,2.52
AMZN,2023-08-12,133.22,-0.84,True,2023-08-26,138.1199951171875,2.0,133.22,0.0,3.678122742221524,155.77921495808206,,,,Consumer Cyclical,6,5,2.5310981964585144,1.1470245457630095,True,0.84
AMZN,2023-09-16,129.12,-4.73,True,2023-10-28,138.60000610351562,6.0,125.16999816894533,-3.0591711826631784,7.34201216195447,84.78682813423077,,,,Consumer Cyclical,6,6,2.5946177328725506,4.747394429081919,True,4.73
GOOGL,2022-10-29,85.87,-7.12,True,2022-11-05,95.61971282958984,1.0,85.87,0.0,11.354038464644043,26735.55321032608,,,,Communication Services,3,1,4.3167366867264745,7.037301777917569,True,7.12
GOOGL,2022-12-03,92.07,-1.53,True,2023-01-14,97.2165069580078,6.0,86.62405395507812,-5.915006022506642,5.58977621158665,60.222265553274944,,,,Communication Services,3,2,0.016836360572325404,5.572939851014325,True,1.53
GOOGL,2023-02-04,93.79,-1.34,True,2023-03-11,100.78700256347656,5.0,88.39936828613281,-5.74755487137989,7.460286345534239,111.33874894834904,,,,Communication Services,3,3,-3.327349939885249,10.787636285419488,True,1.34
GOOG,2022-10-29,85.99,-7.44,True,2022-11-05,95.94231414794922,1.0,85.99,0.0,11.5738041027436,29632.84795699288,,,,Communication Services,3,1,4.3167366867264745,7.257067416017125,True,7.44
GOOG,2022-12-03,92.31,-1.76,True,2023-01-14,98.4715576171875,6.0,87.4421157836914,-5.273409399099338,6.674853880606113,75.06708117096565,,,,Communication Services,3,2,0.016836360572325404,6.658017520033788,True,1.76
GOOG,2023-02-04,94.09,-1.56,True,2023-03-11,101.62566375732422,5.0,88.62240600585938,-5.811025607546638,8.008995384551199,122.83491368940452,,,,Communication Services,3,3,-3.327349939885249,11.336345324436447,True,1.56
META,2018-11-19,130.82,-1.84,True,2018-11-26,139.63461303710938,1.0,130.82,0.0,6.737970522175041,2868.827288885067,,,,Communication Services,5,1,0.689284983981997,6.048685538193044,True,1.84
META,2018-12-17,124.08,-7.72,True,2018-12-31,136.9930877685547,2.0,124.08,0.0,10.407066222239436,1211.9540204515256,,,,Communication Services,5,2,10.211445001621811,0.19562122061762466,True,7.72
META,2020-03-16,148.69,-8.68,True,2020-04-06,173.9747314453125,3.0,148.69,0.0,17.00499794559991,1421.2823648742012,,,,Communication Services,5,3,17.40028743373827,-0.39528948813835996,False,8.68
META,2022-02-07,218.03,-5.7,True,2023-04-24,238.65293884277344,63.0,90.16019439697266,-58.647803331205495,9.45876202484679,7.745034484860924,,,,Communication Services,5,4,-6.052772833038722,15.511534857885511,True,5.7
META,2023-05-01,231.17,-0.06,True,2023-05-08,232.1880798339844,1.0,231.17,0.0,0.4404030946854709,25.67220736336684,,,,Communication Services,5,5,-0.16548682966655015,0.605889924352021,True,0.06
AVGO,2020-03-14,16.54,-15.95,True,2020-03-21,20.18385505676269,1.0,16.54,0.0,22.03056261646128,3135841.162484373,,,,Technology,1,1,6.627870553737969,15.40269206272331,True,15.95
TSLA,2016-02-06,10.07,-3.85,True,2016-02-13,11.10533332824707,1.0,10.07,0.0,10.281363736316496,16122.233673370363,,,,Consumer Cyclical,13,1,1.338368310079474,8.942995426237022,True,3.85
