ticker,cross_date,price,wma200,pct_below,return_3mo,return_6mo,return_12mo,return_24mo,max_drawdown_12mo,fcf,fcf_prior,fcf_change_pct,fcf_positive,fcf_growing,fcf_category,market_cap,fcf_yield,yield_bucket
PLD,2024-10-19,112.52,113.1,-0.51,2.06,-11.48,11.5,,-16.68,5373058000.0,4126430000.0,30.2,True,True,positive_growing,104593978680.0,5.1370624464326,strong (5-8%)
PLD,2025-02-01,113.31,114.47,-1.01,-8.09,-8.28,20.86,,-17.27,4912209000.0,5373058000.0,-8.6,True,False,positive_declining,105328330290.0,4.6637110703979054,moderate (3-5%)
PLD,2025-03-08,108.04,114.84,-5.92,-3.27,5.0,21.94,,-13.23,4912209000.0,5373058000.0,-8.6,True,False,positive_declining,100429554360.0,4.891198642972849,moderate (3-5%)
PLD,2025-10-04,110.37,113.12,-2.43,17.24,,,,,4912209000.0,5373058000.0,-8.6,True,False,positive_declining,102595426830.0,4.787941482167135,moderate (3-5%)
ACN,2023-03-04,242.59,244.24,-0.67,22.53,29.64,51.81,39.66,-1.17,8823131000.0,,,True,,positive_unknown_trend,149298415221.81,5.909728503743078,strong (5-8%)
ACN,2024-05-25,275.98,286.18,-3.56,21.67,29.46,14.23,,0.0,8996096000.0,8823131000.0,2.0,True,True,positive_growing,169847795180.82,5.296563308592115,strong (5-8%)
ACN,2025-03-15,302.3,307.56,-1.71,-6.07,-20.71,,,,8614518000.0,8996096000.0,-4.2,True,False,positive_declining,186046048565.7,4.630314949665745,moderate (3-5%)
ACN,2025-05-17,308.04,308.39,-0.11,-15.85,-18.24,,,,8614518000.0,8996096000.0,-4.2,True,False,positive_declining,189578646378.36002,4.544033921841172,moderate (3-5%)
ACN,2025-06-14,283.95,308.43,-7.94,-15.58,-4.12,,,,8614518000.0,8996096000.0,-4.2,True,False,positive_declining,174752813398.05,4.929544670836257,moderate (3-5%)
BMY,2023-07-22,54.48,54.62,-0.26,-16.08,-17.3,-13.78,-13.34,-33.24,11948000000.0,,,True,,positive_unknown_trend,110947087448.4,10.769097481316809,very_strong (8-12%)
BMY,2023-09-02,53.96,54.98,-1.85,-16.44,-9.62,-15.97,-14.83,-32.59,11948000000.0,,,True,,positive_unknown_trend,109888121121.8,10.872876775058185,very_strong (8-12%)
BMY,2024-12-07,52.52,54.04,-2.82,6.96,-8.85,-1.37,,-18.1,12651000000.0,11948000000.0,5.9,True,True,positive_growing,106955598986.6,11.828272778487255,very_strong (8-12%)
