ticker,name,sector,price,wma200,pct_below,mktcap,fcf,fcf_yield,ocf,pe,fwd_pe,revenue,div_yield,total_debt,total_cash
BX,Blackstone Inc.,Financial Services,106.78,118.68,-10.02,130928713728,,,4663160832.0,27.7,13.5,14212824064.0,444.0,14557704192.0,2765797888.0
MTD,"Mettler-Toledo International, I",Healthcare,1173.74,1298.83,-9.63,24487778304,687078400.0,2.81,955772032.0,28.5,23.4,4026398976.0,,2265323008.0,66888000.0
DLTR,"Dollar Tree, Inc.",Consumer Defensive,107.46,118.3,-9.16,23325761536,1654437504.0,7.09,2693900032.0,21.7,15.5,18960900096.0,,7658899968.0,594800000.0
CMCSA,Comcast Corporation,Communication Services,30.16,33.07,-8.8,110555758592,5592124928.0,5.06,33642999808.0,5.6,7.6,123706998784.0,438.0,105032998912.0,9480999936.0
FICO,Fair Isaac Corporation,Technology,1131.22,1240.29,-8.79,27553970176,573164032.0,2.08,758892032.0,43.0,21.8,2062860032.0,,3214724096.0,162034000.0
MRSH,Marsh,Financial Services,172.15,188.53,-8.69,85126709248,4730625024.0,5.56,5292000256.0,20.6,15.3,26980999168.0,209.0,21449000960.0,2687000064.0
BDX,"Becton, Dickinson and Company",Healthcare,159.36,173.47,-8.14,58065039360,3105250048.0,5.35,3393999872.0,26.2,11.9,21923999744.0,264.0,19538999296.0,751000000.0
DOW,Dow Inc.,Basic Materials,36.62,39.74,-7.85,25906298880,-784750016.0,-3.03,1032000000.0,,49.0,39967997952.0,478.0,19601999872.0,4270000128.0
CI,The Cigna Group,Healthcare,267.19,289.93,-7.84,71683219456,9769875456.0,13.63,9601000448.0,12.1,8.0,274899992576.0,234.0,31463000064.0,8732000256.0
QCOM,QUALCOMM Incorporated,Technology,129.82,140.37,-7.52,138194354176,10423374848.0,7.54,14389999616.0,26.1,11.6,44866998272.0,274.0,14817000448.0,11822000128.0
DG,Dollar General Corporation,Consumer Defensive,131.84,142.41,-7.42,29683030016,2126964096.0,7.17,3634500096.0,23.3,16.9,42724368384.0,179.0,15718656000.0,1138500992.0
PFE,"Pfizer, Inc.",Healthcare,26.58,28.7,-7.39,151311581184,13430124544.0,8.88,11704000512.0,19.6,9.4,62578999296.0,647.0,67647000576.0,13596000256.0
KKR,KKR & Co. Inc.,Financial Services,85.93,92.43,-7.03,79738888192,,,477760000.0,36.8,10.8,25651109888.0,86.0,56008663040.0,42621952000.0
AVB,"AvalonBay Communities, Inc.",Real Estate,168.96,180.06,-6.16,23949369344,1341972736.0,5.6,1671105024.0,22.9,33.9,3041189120.0,421.0,9497797632.0,187234000.0
BR,"Broadridge Financial Solutions,",Technology,178.32,189.11,-5.71,20850151424,1196462464.0,5.74,1427200000.0,19.8,17.3,7180299776.0,219.0,3373700096.0,371500000.0
TGT,Target Corporation,Consumer Defensive,117.34,124.35,-5.64,53004947456,2590125056.0,4.89,6561999872.0,14.4,13.8,104779997184.0,389.0,20290000896.0,5488000000.0
NXPI,NXP Semiconductors N.V.,Technology,190.86,201.03,-5.06,48489230336,1881750016.0,3.88,2820000000.0,24.1,11.5,12268999680.0,213.0,12510999552.0,3267000064.0
NVR,"NVR, Inc.",Consumer Cyclical,6466.56,6743.03,-4.1,18643539968,1162273536.0,6.23,1121319936.0,15.0,14.5,10438105088.0,,1095367040.0,1883843968.0
AMT,American Tower Corporation (REI,Real Estate,184.41,192.11,-4.01,86471368704,4508987392.0,5.21,5464000000.0,34.2,26.7,10644599808.0,374.0,44963901440.0,1474800000.0
