ticker,cross_date,price,wma200,pct_below,return_3mo,return_6mo,return_12mo,return_24mo,max_drawdown_12mo,fcf,fcf_prior,fcf_change_pct,fcf_positive,fcf_growing,fcf_category
XOM,2015-05-30,53.06,53.4,-0.63,-13.22,-4.73,8.63,1.29,-13.62,,,,,,unknown
XOM,2015-06-20,52.8,53.59,-1.47,-11.86,-3.68,10.44,4.5,-13.18,,,,,,unknown
XOM,2016-03-26,53.66,54.35,-1.27,14.07,7.0,2.35,-3.23,0.0,,,,,,unknown
XOM,2016-09-17,54.9,55.18,-0.52,9.66,-0.9,-0.62,10.2,-4.79,,,,,,unknown
XOM,2016-10-29,54.98,55.34,-0.65,0.85,-0.08,3.28,5.88,-4.93,,,,,,unknown
XOM,2017-01-28,55.44,55.67,-0.41,-0.92,-2.19,5.04,-1.75,-5.73,,,,,,unknown
XOM,2017-06-17,55.17,55.78,-1.09,-1.12,4.85,3.7,3.32,-8.05,,,,,,unknown
XOM,2017-09-30,55.78,55.79,-0.02,7.15,-6.58,8.68,-8.14,-9.05,,,,,,unknown
XOM,2017-11-11,55.28,55.69,-0.74,-3.64,3.39,2.48,-5.9,-8.23,,,,,,unknown
XOM,2018-02-03,52.21,55.72,-6.3,8.35,6.95,1.67,-11.48,-6.38,,,,,,unknown
XOM,2018-11-17,54.16,54.97,-1.47,5.03,0.39,-3.71,-44.63,-9.76,,,,,,unknown
XOM,2018-12-08,54.23,54.96,-1.34,7.22,0.6,-4.01,-34.42,-9.87,,,,,,unknown
XOM,2019-05-18,54.37,55.18,-1.46,-7.79,-4.08,-36.23,-9.22,-54.08,,,,,,unknown
XOM,2019-07-13,55.03,55.49,-0.84,-8.72,-6.32,-38.51,-12.74,-54.62,,,,,,unknown
XOM,2021-03-13,46.64,49.02,-4.85,8.48,0.57,46.97,93.27,-3.84,,,,,,unknown
XOM,2021-07-10,48.02,48.63,-1.25,10.85,28.99,54.99,91.45,-6.6,,,,,,unknown
V,2022-09-17,179.08,188.42,-4.96,12.14,20.66,28.82,57.27,-3.43,,,,,,unknown
