ticker,cross_date,cross_price,pct_below,recovered,weeks_below,episode_return,max_drawdown,final_price,final_return,weeks_elapsed
AAL,2016-05-21,30.416385650634766,-0.08046914177489706,True,2.0,4.707760344833423,-2.6540254165280275,,,
AAL,2016-06-11,28.196426391601562,-8.282939718308969,True,4.0,22.324435393837593,-7.805041287831848,,,
AAL,2018-04-28,41.85452651977539,-1.079429361588069,True,2.0,1.4499568124537676,-0.606639881304194,,,
AAL,2018-06-02,42.19710922241211,-0.5142131801817662,True,15.0,1.4005598948951814,-13.894684903856259,,,
AAL,2018-09-22,40.56037902832031,-4.659130253573462,True,248.0,-55.76964277988763,-77.7122399286726,,,
AAL,2023-07-15,17.420000076293945,-0.5503705414584004,True,72.0,-0.11481318987415223,-44.718713706861976,,,
AAL,2025-02-15,15.229999542236328,-1.84515958269732,True,40.0,-7.747862028682617,-37.88574968822426,,,
AAL,2026-01-24,13.300000190734863,-3.579867941840442,True,1.0,14.586462801216783,0.0,,,
AAL,2026-02-14,13.59000015258789,-1.0088491869385208,False,,,-17.7336263454948,11.180000305175781,-17.7336263454948,2.0
AAP,2017-04-08,123.6076889038086,-0.6504881870338819,True,1.0,4.2231441803531,0.0,,,
AAP,2017-04-22,124.7043228149414,-0.22000999297034918,True,1.0,1.9980489738758989,0.0,,,
AAP,2017-05-20,117.70319366455078,-6.633495725134386,True,62.0,8.130769329992038,-39.39254814409481,,,
AAP,2019-08-10,120.33634948730469,-4.869016252997471,True,3.0,7.775130310385148,-1.127433520369281,,,
AAP,2020-01-18,124.91683197021484,-1.1662825756272532,True,19.0,3.4110646982590254,-47.042645989009166,,,
AAP,2020-06-06,120.00890350341797,-2.6323931262477895,True,1.0,6.756071450844892,0.0,,,
AAP,2020-07-04,119.0774154663086,-3.183400361614064,True,1.0,7.74267725929132,0.0,,,
AAP,2022-06-11,152.52903747558594,-0.05030501872547166,True,1.0,10.069793919514748,0.0,,,
AAP,2022-09-10,152.94259643554688,-0.7442837664392132,True,4.0,1.9605724532751223,-5.436811587783041,,,
AAP,2022-11-12,136.4496612548828,-11.756392647150705,False,,,-77.70811748346215,50.33000183105469,-63.11460111502941,172.0
AIV,2020-03-14,1.3734655380249023,-34.166412394841814,True,34.0,50.904312160329624,-6.525090908585918,,,
AIV,2020-11-14,2.042618989944458,-1.2637704993014531,True,2.0,8.723755787222798,0.0,,,
AIV,2023-10-14,3.167245864868164,-0.26203264148580985,True,4.0,3.0063250166059596,-8.70253602874712,,,
AIV,2025-10-11,2.9692928791046143,-25.665395330854444,True,1.0,44.73143298718006,0.0,,,
AIV,2025-10-25,3.9900002479553223,-0.18334144145260023,True,1.0,1.1278094401083516,0.0,,,
AIV,2026-02-21,3.307499885559082,-18.567199147746262,True,1.0,30.612254607263488,0.0,,,
ALK,2017-10-21,63.21298599243164,-0.6930783122237938,True,6.0,5.221567560733709,-6.248119822061615,,,
ALK,2018-01-20,61.554256439208984,-5.972304844388021,True,44.0,15.805605562540936,-9.36957485148654,,,
ALK,2018-12-01,63.187774658203125,-8.331386007318098,True,46.0,12.06677301588912,-16.01981756423575,,,
ALK,2019-12-07,67.02987670898438,-1.1203856375863852,True,1.0,2.8630599129953804,0.0,,,
ALK,2019-12-28,66.54263305664062,-1.8043695459428188,True,59.0,-6.4058695629243045,-64.5941280293368,,,
ALK,2021-07-10,54.619998931884766,-5.177444631471539,True,1.0,6.645919331932104,0.0,,,
ALK,2021-08-14,54.349998474121094,-4.934247340018183,True,1.0,7.120520432810573,0.0,,,
ALK,2021-08-28,57.11000061035156,-0.033929019785350345,True,3.0,6.44370559594909,-1.7860277479646691,,,
ALK,2021-10-16,53.810001373291016,-5.43168644390285,True,2.0,10.295478460217788,-1.8769784620964347,,,
ALK,2021-11-06,55.650001525878906,-1.8291389383968126,True,13.0,2.138362253513315,-12.722374909122468,,,
ALK,2022-02-26,49.13999938964844,-12.257802983874978,True,3.0,16.890515547725006,-0.6512000382556504,,,
ALK,2022-04-02,52.290000915527344,-6.465317948701143,True,1.0,9.217822930641661,0.0,,,
ALK,2022-04-23,54.38999938964844,-2.6085594217589714,True,40.0,-1.6914840582263557,-28.019852978101014,,,
ALK,2023-02-04,49.58000183105469,-5.547251999933655,True,20.0,7.260988989851591,-23.093990197813362,,,
ALK,2023-07-22,48.119998931884766,-5.085912926999869,True,66.0,2.3067344866794404,-35.058186422166656,,,
ALK,2025-03-29,44.45000076293945,-6.944610116990491,True,5.0,17.052863636117888,-5.714287675884789,,,
ALK,2025-06-14,46.97999954223633,-0.4097667430400631,True,1.0,5.087269929621341,0.0,,,
ALK,2025-10-18,43.77000045776367,-6.89581365715336,True,6.0,13.433861107196488,-9.687003961899043,,,
ALK,2026-02-28,42.29999923706055,-8.995662357496814,False,,,0.0,,,0.0
AMG,2015-11-07,162.18411254882812,-2.4584182034799507,True,1.0,4.614109571848379,0.0,,,
AMG,2015-12-05,147.88543701171875,-11.735404444433929,True,19.0,16.358991396868696,-18.551964440115476,,,
AMG,2016-04-23,164.88516235351562,-3.912799746744633,True,66.0,6.331940083920706,-22.32857859131583,,,
AMG,2017-08-05,170.07476806640625,-2.4694835367898738,True,5.0,2.7617122524452586,-1.2546002967875558,,,
AMG,2018-03-31,171.89439392089844,-0.9814451191873741,True,149.0,-14.069790242951097,-71.67664231069098,,,
AMG,2023-10-07,125.25090789794922,-0.6384506318955041,True,3.0,2.1225765883629455,-2.178409341551779,,,
AMG,2025-03-29,148.77406311035156,-2.6658781131479903,True,1.0,6.068549137712731,0.0,,,
BBWI,2016-10-29,38.60762405395508,-0.8413172057188945,True,1.0,6.41542920159035,0.0,,,
BBWI,2016-12-24,39.45106506347656,-0.5728143849146106,True,195.0,-44.328225290228254,-82.04846492797233,,,
BBWI,2022-06-18,28.154630661010742,-4.626285982983713,True,4.0,8.142171994226732,-11.114707642738853,,,
BBWI,2022-09-24,29.80318260192871,-1.709471265837037,True,1.0,8.926353549731147,0.0,,,
BBWI,2022-10-08,29.839750289916992,-1.912763650727256,True,1.0,3.278174232769948,0.0,,,
BBWI,2022-10-29,29.227231979370117,-4.523473903831632,True,1.0,12.605570781637354,0.0,,,
BBWI,2023-03-11,31.825611114501953,-2.285090510504517,True,1.0,3.427240406894816,0.0,,,
BBWI,2023-04-15,32.93484115600586,-0.1883235749143619,True,4.0,3.9292324203690443,-7.381442957462703,,,
BBWI,2023-07-08,32.713783264160156,-4.098744870961967,True,3.0,7.956787778335173,0.0,,,
BBWI,2023-08-05,34.38711929321289,-0.43455348474154,True,3.0,3.6893065377674006,-5.307088887007938,,,
BBWI,2023-09-02,34.1136360168457,-2.46342827292122,True,14.0,13.68592318749906,-22.493143837672914,,,
BBWI,2024-06-15,39.76396179199219,-1.231930598888642,False,,,-63.432248478590125,20.799999237060547,-47.69133079378089,89.0
BHF,2022-07-11,40.08000183105469,-0.40880890222402266,True,1.0,3.8922092997137447,0.0,,,
BHF,2023-03-13,40.66999816894531,-4.1580081297006295,True,2.0,8.458329472050385,0.0,,,
BHF,2023-04-03,41.97999954223633,-1.2601804167281294,True,1.0,1.5007171867198021,0.0,,,
BHF,2023-05-08,39.86000061035156,-6.514601053169644,True,3.0,9.307574078433856,0.0,,,
BHF,2024-05-06,45.68000030517578,-1.4836219414714136,True,9.0,5.122592243771851,-10.223296743527921,,,
BHF,2024-07-29,45.91999816894531,-2.8832114862292646,True,11.0,7.033979716310124,-8.62369172991544,,,
BHF,2024-10-21,47.40999984741211,-1.1235442596384315,True,2.0,6.5387017171448125,0.0,,,
BHF,2024-12-16,47.9900016784668,-0.8203623857744646,True,4.0,5.355281527271516,-4.688476602011827,,,
BHF,2025-04-07,47.81999969482422,-2.48667213722481,True,1.0,5.918029797396662,0.0,,,
BHF,2025-07-07,48.790000915527344,-1.9308292845835795,True,1.0,4.201679029704919,0.0,,,
BHF,2025-07-28,46.18000030517578,-7.293183295867411,True,7.0,24.70766516243028,-6.106538926350236,,,
BHF,2025-10-06,47.279998779296875,-4.868165157813054,True,3.0,20.706432251039363,-1.56513934618282,,,
BIO,2014-11-01,110.5999984741211,-1.6421594316890498,True,2.0,6.320070488432328,0.0,,,
BIO,2022-06-11,463.6700134277344,-3.0377141996918544,True,1.0,9.526167669033537,0.0,,,
BIO,2022-08-27,478.32000732421875,-2.4262657434636847,True,1.0,6.493560186275138,0.0,,,
BIO,2022-09-10,448.5400085449219,-8.877883118961183,False,,,-51.081287290123626,269.8500061035156,-39.83814131120261,181.0
BWA,2015-08-08,34.689178466796875,-1.9839857127945448,True,102.0,4.085781586089499,-36.91133615437738,,,
BWA,2017-08-05,34.37468719482422,-4.2072530827406585,True,3.0,4.478301138660035,-1.1195725103144816,,,
BWA,2017-09-02,35.67257308959961,-0.4023956436972176,True,1.0,5.541135179291201,0.0,,,
BWA,2018-06-23,33.658382415771484,-3.545162494674936,True,2.0,4.4485519830749,0.0,,,
BWA,2018-07-14,34.58641052246094,-0.45567028414562616,True,1.0,3.2694432986052124,0.0,,,
BWA,2018-08-04,34.26666259765625,-1.15673001546307,True,1.0,3.049583648750942,0.0,,,
BWA,2018-08-25,34.134098052978516,-1.2398979808655675,True,2.0,2.9061418863486344,0.0,,,
BWA,2018-09-22,33.48995590209961,-2.6677277963252366,True,27.0,-0.6370632556006561,-20.718913621995473,,,
BWA,2019-05-04,30.379213333129883,-6.14121621943422,True,5.0,6.913062141684012,-7.796272813670124,,,
BWA,2019-07-06,31.702054977416992,-1.5080692204671897,True,16.0,9.776778266202513,-22.742051669913867,,,
BWA,2020-01-18,31.411108016967773,-3.45104553837956,True,29.0,7.6638280903741585,-47.465438039861276,,,
BWA,2020-09-12,31.69063377380371,-2.943686864108086,True,16.0,3.754211776706362,-10.307692094724663,,,
BWA,2021-01-09,31.501176834106445,-3.5908940008454793,True,1.0,10.880835791955157,0.0,,,
BWA,2022-02-26,30.58929443359375,-6.985798957273948,True,4.0,7.011622686686292,-1.2535105003242397,,,
BWA,2022-04-02,30.280704498291016,-7.359745361126402,True,7.0,9.118375692326875,0.0,,,
BWA,2022-06-04,31.32123374938965,-3.7185674523580237,True,9.0,6.719990753499094,-10.266666918371559,,,
BWA,2022-08-20,31.713796615600586,-2.0904251863708367,True,11.0,12.218386263489457,-16.93406145113271,,,
BWA,2023-10-28,32.236202239990234,-6.186429154932815,True,7.0,7.751043218961384,-2.9676314861783126,,,
BWA,2023-12-30,33.92052459716797,-1.9187314941938705,True,17.0,4.5175348529958415,-13.08946676260242,,,
BWA,2024-05-18,34.72322082519531,-1.9482240265859763,True,18.0,3.623186813621415,-11.972797754986441,,,
BWA,2024-09-28,34.39519119262695,-3.084603107088746,True,39.0,1.5758787812512054,-25.79112521908463,,,
CE,2020-02-22,84.16063690185547,-1.124879755607644,True,14.0,5.080824646456472,-30.947304181639858,,,
CE,2020-06-06,80.11066436767578,-7.192140591010787,True,7.0,10.533610342215184,-6.484398250901291,,,
CE,2022-06-25,108.95771026611328,-2.9478774095227367,True,28.0,6.2115051810741395,-22.911673688083823,,,
CE,2023-02-04,114.38031768798828,-0.13141114535772935,True,3.0,4.49057791068963,-1.2314987863239812,,,
CE,2023-03-04,104.7378158569336,-8.851105806496317,True,19.0,11.862222236790787,-7.021330917866475,,,
CE,2023-08-12,114.3583755493164,-1.4958672960870278,True,2.0,9.515716702600363,0.0,,,
CE,2023-10-07,116.05868530273438,-0.32869085921725105,True,3.0,1.8757374091213475,-4.981151776842085,,,
CE,2023-11-04,115.84082794189453,-0.6211196141654773,True,1.0,9.636296374305008,0.0,,,
CE,2024-08-03,125.42118072509766,-2.301817903964609,True,2.0,4.324120296571521,0.0,,,
CE,2024-08-31,119.01628112792969,-7.56244558955318,True,3.0,16.036331976085183,0.0,,,
CE,2024-10-19,127.77096557617188,-1.0599965956458957,False,,,-70.33108408117992,49.31999969482422,-61.39968147503618,71.0
CMA,2016-01-02,26.427032470703125,-3.18503797852161,True,15.0,13.526439123701884,-15.58973931851434,,,
CMA,2016-06-18,27.412071228027344,-2.633751757706959,True,2.0,3.6981189577937945,0.0,,,
CMA,2019-08-03,45.643218994140625,-6.223372230219026,True,12.0,9.078648428729696,-4.805995706177368,,,
CMA,2020-01-04,50.8642578125,-0.5173589237016163,True,53.0,-0.36728574685610527,-59.31341197081693,,,
CMA,2021-01-16,49.39024353027344,-2.1483316148346754,True,4.0,7.319834258052382,-7.979405216014756,,,
